code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,stage_3_reached,avg_stage,signal_distribution,data_start,data_end,data_bars,error,signals,trade_log
sh.601009,2007-07-19,1001055.9,0.11,-65.037,0.02,0.11,1,1,0,100.0,1,1,3.0,0.11,0.11,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-14', 'type': 'buy', 'signal': '红杏出墙', 'price': 7.3333, 'stage': 1, 'stage_name': '试仓(12900股)'}, {'date': '2023-04-19', 'type': 'sell', 'signal': '空头排列下跌', 'price': 7.4138, 'stage': 1}]","[{'entry_date': '2023-04-17', 'exit_date': '2023-04-20', 'entry_price': 7.3253, 'exit_stage': 1, 'pnl': 1055.9, 'return_pct': 0.11, 'hold_days': 3}]"
sh.600460,2003-03-11,1000756.24,0.08,-91.037,4.26,0.08,1,1,0,100.0,3,1,15.0,0.08,0.08,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=41.07)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-29', 'type': 'buy', 'signal': '均线多头排列', 'price': 35.6406, 'stage': 1, 'stage_name': '试仓(2600股)'}, {'date': '2023-04-03', 'type': 'buy', 'signal': '确认加仓', 'price': 37.2592, 'stage': 2, 'stage_name': '确认(加6900股)'}, {'date': '2023-04-12', 'type': 'buy', 'signal': '趋势满仓', 'price': 39.861, 'stage': 3, 'stage_name': '满仓(加7700股)'}, {'date': '2023-04-13', 'type': 'sell', 'signal': '移动止损(最高=41.07)', 'price': 37.7558, 'stage': 3}]","[{'entry_date': '2023-03-30', 'exit_date': '2023-04-14', 'entry_price': 37.95350581395349, 'exit_stage': 3, 'pnl': 756.24, 'return_pct': 0.08, 'hold_days': 10}]"
sz.300015,2009-10-30,1000642.23,0.06,-107.301,0.14,0.06,1,1,0,100.0,1,1,2.0,0.06,0.06,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '红杏出墙', 'price': 22.4441, 'stage': 1, 'stage_name': '试仓(4200股)'}, {'date': '2023-03-29', 'type': 'sell', 'signal': '空头排列下跌', 'price': 22.6569, 'stage': 1}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-03-30', 'entry_price': 22.4955, 'exit_stage': 1, 'pnl': 642.23, 'return_pct': 0.06, 'hold_days': 2}]"
sz.300661,2017-06-06,1000574.01,0.06,-120.121,0.01,0.06,1,1,0,100.0,1,1,3.0,0.06,0.06,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-30', 'type': 'buy', 'signal': '红杏出墙', 'price': 91.535, 'stage': 1, 'stage_name': '试仓(1000股)'}, {'date': '2023-03-31', 'type': 'sell', 'signal': '空头排列下跌', 'price': 91.0656, 'stage': 1}]","[{'entry_date': '2023-03-31', 'exit_date': '2023-04-03', 'entry_price': 91.0656, 'exit_stage': 1, 'pnl': 574.01, 'return_pct': 0.06, 'hold_days': 1}]"
sz.300760,2018-10-16,1000235.7,0.02,-293.369,0.07,0.02,1,1,0,100.0,1,1,5.0,0.02,0.02,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-28', 'type': 'buy', 'signal': '红杏出墙', 'price': 281.6654, 'stage': 1, 'stage_name': '试仓(300股)'}, {'date': '2023-03-31', 'type': 'sell', 'signal': '空头排列下跌', 'price': 285.4011, 'stage': 1}]","[{'entry_date': '2023-03-29', 'exit_date': '2023-04-03', 'entry_price': 284.046, 'exit_stage': 1, 'pnl': 235.7, 'return_pct': 0.02, 'hold_days': 3}]"
sz.000963,2000-01-27,1000058.21,0.01,-1189.676,0.23,0.01,1,1,0,100.0,1,1,5.0,0.01,0.01,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-28', 'type': 'buy', 'signal': '红杏出墙', 'price': 42.0564, 'stage': 1, 'stage_name': '试仓(2200股)'}, {'date': '2023-03-31', 'type': 'sell', 'signal': '空头排列下跌', 'price': 42.7482, 'stage': 1}]","[{'entry_date': '2023-03-29', 'exit_date': '2023-04-03', 'entry_price': 42.0656, 'exit_stage': 1, 'pnl': 58.21, 'return_pct': 0.01, 'hold_days': 3}]"
sh.603799,2015-01-29,1000114.11,0.01,-606.581,0.0,0.01,1,1,0,100.0,1,1,1.0,0.01,0.01,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-04-17', 'type': 'buy', 'signal': '红杏出墙', 'price': 52.4625, 'stage': 1, 'stage_name': '试仓(1800股)'}, {'date': '2023-04-18', 'type': 'sell', 'signal': '空头排列下跌', 'price': 52.4251, 'stage': 1}]","[{'entry_date': '2023-04-18', 'exit_date': '2023-04-19', 'entry_price': 52.369, 'exit_stage': 1, 'pnl': 114.11, 'return_pct': 0.01, 'hold_days': 1}]"
sz.000657,1996-12-05,1000019.94,0.0,-3473.091,0.05,0.0,1,0,1,0.0,1,1,1.0,0.0,0.0,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,865,,"[{'date': '2023-04-12', 'type': 'buy', 'signal': '红杏出墙', 'price': 10.028, 'stage': 1, 'stage_name': '试仓(9400股)'}, {'date': '2023-04-13', 'type': 'sell', 'signal': '空头排列下跌', 'price': 9.9837, 'stage': 1}]","[{'entry_date': '2023-04-13', 'exit_date': '2023-04-14', 'entry_price': 10.028, 'exit_stage': 1, 'pnl': 19.94, 'return_pct': 0.0, 'hold_days': 1}]"
sz.002311,2009-11-27,999964.76,-0.0,-1966.594,0.08,-0.0,1,0,1,0.0,1,1,4.0,-0.0,-0.0,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-06-15', 'type': 'buy', 'signal': '红杏出墙', 'price': 46.2067, 'stage': 1, 'stage_name': '试仓(2000股)'}, {'date': '2023-06-19', 'type': 'sell', 'signal': '空头排列下跌', 'price': 46.0853, 'stage': 1}]","[{'entry_date': '2023-06-16', 'exit_date': '2023-06-20', 'entry_price': 46.1226, 'exit_stage': 1, 'pnl': -35.24, 'return_pct': -0.0, 'hold_days': 2}]"
sz.002714,2014-01-28,1000044.92,0.0,-1541.857,0.0,0.0,1,0,1,0.0,1,1,1.0,0.0,0.0,0,1.0,"{'红杏出墙': 1, '空头排列下跌': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '红杏出墙', 'price': 44.7516, 'stage': 1, 'stage_name': '试仓(2100股)'}, {'date': '2023-03-28', 'type': 'sell', 'signal': '空头排列下跌', 'price': 44.7054, 'stage': 1}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-03-29', 'entry_price': 44.65, 'exit_stage': 1, 'pnl': 44.92, 'return_pct': 0.0, 'hold_days': 1}]"
